iter	Passed	Remaining
477	644	703
478	645	701
479	646	699
480	648	699
481	649	697
482	650	695
483	651	694
484	651	692
485	652	690
486	653	688
487	654	686
488	655	684
489	656	682
490	656	681
491	657	679
492	658	677
493	659	675
494	660	673
495	661	671
496	663	671
497	664	669
498	664	667
499	665	665
500	666	663
501	667	662
502	668	660
503	669	658
504	670	656
505	670	655
506	671	653
507	672	651
508	673	649
509	674	647
510	675	646
511	676	644
512	678	643
513	678	641
514	679	640
515	680	638
516	681	636
517	682	635
518	683	633
519	684	631
520	685	629
521	685	628
522	686	626
523	687	624
524	688	622
525	689	621
526	689	619
527	692	618
528	693	617
529	694	615
530	695	614
531	696	612
532	697	610
533	698	609
534	698	607
535	699	605
536	700	604
537	701	602
538	702	600
539	703	598
540	703	597
541	704	595
542	706	594
543	707	593
544	708	591
545	709	589
546	710	588
547	711	586
548	711	584
549	712	583
550	713	581
551	714	579
552	715	578
553	716	576
554	716	574
555	717	573
556	718	571
557	719	569
558	721	569
559	722	567
560	723	565
561	724	564
562	724	562
563	725	560
564	726	559
565	727	557
566	728	556
567	728	554
568	729	552
569	730	551
570	731	549
571	732	547
572	733	546
573	733	544
574	736	544
575	737	543
576	739	541
577	740	540
578	741	539
579	742	538
580	744	536
581	745	535
582	745	533
583	746	531
584	747	530
585	748	528
586	749	527
587	751	526
588	752	524
589	752	523
590	753	521
591	754	520
592	755	518
593	756	516
594	757	515
595	757	513
596	758	512
597	759	510
598	760	509
599	761	507
600	761	505
601	762	504
602	763	502
603	764	501
604	766	500
605	767	498
606	768	497
607	769	495
608	769	494
609	770	492
610	771	491
611	772	489
612	773	488
613	774	486
614	780	488
615	783	488
616	785	487
617	787	486
618	789	486
619	792	485
620	795	485
621	796	484
622	798	483
623	799	481
624	800	480
625	801	479
626	803	477
627	804	476
628	805	475
629	806	473
630	808	472
631	810	471
632	812	471
633	813	469
634	814	468
635	815	466
636	816	465
637	817	463
638	818	462
639	819	460
640	820	459
641	821	458
642	823	457
643	824	455
644	825	454
645	826	452
646	827	451
647	828	449
648	829	448
649	830	447
650	831	445
651	832	444
652	832	442
653	833	441
654	834	439
655	835	438
656	836	436
657	838	435
658	839	434
659	840	432
660	841	431
661	842	430
662	843	428
663	844	427
664	845	425
665	846	424
666	847	423
667	849	422
668	850	420
669	852	420
670	853	418
671	854	417
672	855	415
673	857	414
674	859	413
675	860	412
676	861	410
677	862	409
678	863	408
679	864	406
680	865	405
681	867	404
682	870	403
683	871	402
684	873	401
685	875	400
686	877	399
687	878	398
688	879	397
689	881	395
690	882	394
691	884	393
692	885	392
693	887	391
694	888	389
695	889	388
696	891	387
697	893	386
698	894	385
699	897	384
700	901	384
701	902	383
702	903	381
703	905	380
704	906	379
705	907	377
706	908	376
707	909	375
708	911	374
709	913	373
710	914	371
711	915	370
712	916	369
713	917	367
714	918	366
715	919	364
716	921	363
717	921	362
718	923	360
719	924	359
720	925	358
721	927	357
722	928	355
723	929	354
724	930	352
725	931	351
726	932	350
727	933	348
728	934	347
729	935	346
730	937	345
731	944	345
732	955	348
733	958	347
734	961	346
735	966	346
736	969	346
737	971	344
738	976	344
739	978	343
740	980	342
741	982	341
742	983	340
743	985	339
744	986	337
745	990	337
746	991	335
747	993	334
748	996	333
749	997	332
750	999	331
751	1001	330
752	1005	329
753	1007	328
754	1009	327
755	1011	326
756	1013	325
757	1016	324
758	1018	323
759	1021	322
760	1023	321
761	1024	320
762	1027	319
763	1029	317
764	1031	316
765	1032	315
766	1036	314
767	1038	313
768	1039	312
769	1041	311
770	1043	309
771	1045	308
772	1046	307
773	1048	306
774	1050	304
775	1052	303
776	1054	302
777	1055	301
778	1057	300
779	1059	298
780	1061	297
781	1062	296
782	1066	295
783	1067	294
784	1069	292
785	1070	291
786	1071	289
787	1072	288
788	1073	287
789	1074	285
790	1076	284
791	1077	282
792	1078	281
793	1081	280
794	1082	279
795	1084	277
796	1085	276
797	1086	275
798	1087	273
799	1089	272
800	1090	270
801	1091	269
802	1092	268
803	1093	266
804	1096	265
805	1098	264
806	1099	262
807	1100	261
808	1101	260
809	1102	258
810	1104	257
811	1105	255
812	1106	254
813	1107	253
814	1108	251
815	1112	250
816	1113	249
817	1115	248
818	1116	246
819	1120	245
820	1121	244
821	1123	243
822	1128	242
823	1130	241
824	1131	240
825	1133	238
826	1134	237
827	1135	235
828	1136	234
829	1137	232
830	1138	231
831	1139	230
832	1141	228
833	1142	227
834	1143	226
835	1144	224
836	1145	223
837	1147	221
838	1148	220
839	1149	218
840	1150	217
841	1151	216
842	1152	214
843	1153	213
844	1155	211
845	1156	210
846	1157	209
847	1159	207
848	1160	206
849	1161	204
850	1162	203
851	1163	202
852	1164	200
853	1165	199
854	1166	197
855	1167	196
856	1168	194
857	1170	193
858	1171	192
859	1172	190
860	1173	189
861	1174	188
862	1175	186
863	1176	185
864	1177	183
865	1178	182
866	1179	180
867	1180	179
868	1181	178
869	1183	176
870	1185	175
871	1186	174
872	1187	172
873	1188	171
874	1189	169
875	1190	168
876	1191	167
877	1192	165
878	1194	164
879	1195	162
880	1196	161
881	1197	160
882	1199	158
883	1200	157
884	1201	156
885	1202	154
886	1203	153
887	1204	151
888	1205	150
889	1206	149
890	1208	147
891	1209	146
892	1209	144
893	1210	143
894	1211	142
895	1212	140
896	1214	139
897	1215	138
898	1216	136
899	1217	135
900	1218	133
901	1218	132
902	1219	131
903	1220	129
904	1221	128
905	1222	126
906	1223	125
907	1224	124
908	1225	122
909	1226	121
910	1227	119
911	1229	118
912	1230	117
913	1231	115
914	1232	114
915	1233	113
916	1234	111
917	1234	110
918	1235	108
919	1236	107
920	1237	106
921	1238	104
922	1238	103
923	1239	101
924	1240	100
925	1241	99
926	1242	97
927	1244	96
928	1245	95
929	1245	93
930	1246	92
931	1247	91
932	1248	89
933	1249	88
934	1250	86
935	1251	85
936	1252	84
937	1253	82
938	1253	81
939	1254	80
940	1255	78
941	1256	77
942	1259	76
943	1260	74
944	1261	73
945	1262	72
946	1263	70
947	1264	69
948	1265	68
949	1266	66
950	1267	65
951	1268	63
952	1269	62
953	1270	61
954	1271	59
955	1274	58
956	1275	57
957	1276	55
958	1277	54
959	1278	53
960	1280	51
961	1281	50
962	1282	49
963	1283	47
964	1284	46
965	1285	45
966	1288	43
967	1289	42
968	1290	41
969	1291	39
970	1292	38
971	1293	37
972	1294	35
973	1295	34
974	1296	33
975	1297	31
976	1298	30
977	1299	29
978	1300	27
979	1301	26
980	1303	25
981	1304	23
982	1305	22
983	1306	21
984	1307	19
985	1308	18
986	1309	17
987	1309	15
988	1310	14
989	1311	13
990	1312	11
991	1313	10
992	1313	9
993	1314	7
994	1315	6
995	1316	5
996	1318	3
997	1319	2
998	1320	1
999	1321	0
